manifest_id,cohort,seed,domain,domain_label,value_head,rq_scope,task_type,stage,variant,architecture,teacher,source_checkpoint_ref,supervised_lr,max_epochs,original_training_set,estimator,puct,tree_sampling,anchor,width,iterations,workers,jpddl_heap,cpus,memory,time_limit,instance_timeout,completion_mode,dependency_ref,checkpoint_selection,status,notes
drone-off-534933607-stage2-train-primary,prospective-ten,534933607,drone,Drone,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.drone_mcts,hadd-astar,selected:stage1:drone:off:534933607,0.0003,100,True,0.5,0.1,0,0.03,20,0,3,4g,6,48G,3-00:00:00,,,drone-off-534933607-stage1-train-primary,validation-best; never test-selected,planned,
drone-off-2082152039-stage2-train-primary,prospective-ten,2082152039,drone,Drone,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.drone_mcts,hadd-astar,selected:stage1:drone:off:2082152039,0.0003,100,True,0.5,0.1,0,0.03,20,0,3,4g,6,48G,3-00:00:00,,,drone-off-2082152039-stage1-train-primary,validation-best; never test-selected,planned,
drone-off-1510771779-stage2-train-primary,prospective-ten,1510771779,drone,Drone,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.drone_mcts,hadd-astar,selected:stage1:drone:off:1510771779,0.0003,100,True,0.5,0.1,0,0.03,20,0,3,4g,6,48G,3-00:00:00,,,drone-off-1510771779-stage1-train-primary,validation-best; never test-selected,planned,
drone-off-923500475-stage2-train-primary,prospective-ten,923500475,drone,Drone,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.drone_mcts,hadd-astar,selected:stage1:drone:off:923500475,0.0003,100,True,0.5,0.1,0,0.03,20,0,3,4g,6,48G,3-00:00:00,,,drone-off-923500475-stage1-train-primary,validation-best; never test-selected,planned,
drone-off-1972442430-stage2-train-primary,prospective-ten,1972442430,drone,Drone,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.drone_mcts,hadd-astar,selected:stage1:drone:off:1972442430,0.0003,100,True,0.5,0.1,0,0.03,20,0,3,4g,6,48G,3-00:00:00,,,drone-off-1972442430-stage1-train-primary,validation-best; never test-selected,planned,
drone-on-1963100312-stage2-train-primary,prospective-ten,1963100312,drone,Drone,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.drone_mcts,hadd-astar,selected:stage1:drone:on:1963100312,0.0003,100,True,0.5,0.1,0,3,20,0,3,4g,6,48G,3-00:00:00,,,drone-on-1963100312-stage1-train-primary,validation-best; never test-selected,planned,
drone-on-2011206605-stage2-train-primary,prospective-ten,2011206605,drone,Drone,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.drone_mcts,hadd-astar,selected:stage1:drone:on:2011206605,0.0003,100,True,0.5,0.1,0,3,20,0,3,4g,6,48G,3-00:00:00,,,drone-on-2011206605-stage1-train-primary,validation-best; never test-selected,planned,
drone-on-1073581256-stage2-train-primary,prospective-ten,1073581256,drone,Drone,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.drone_mcts,hadd-astar,selected:stage1:drone:on:1073581256,0.0003,100,True,0.5,0.1,0,3,20,0,3,4g,6,48G,3-00:00:00,,,drone-on-1073581256-stage1-train-primary,validation-best; never test-selected,planned,
drone-on-1239739722-stage2-train-primary,prospective-ten,1239739722,drone,Drone,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.drone_mcts,hadd-astar,selected:stage1:drone:on:1239739722,0.0003,100,True,0.5,0.1,0,3,20,0,3,4g,6,48G,3-00:00:00,,,drone-on-1239739722-stage1-train-primary,validation-best; never test-selected,planned,
drone-on-1472491096-stage2-train-primary,prospective-ten,1472491096,drone,Drone,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.drone_mcts,hadd-astar,selected:stage1:drone:on:1472491096,0.0003,100,True,0.5,0.1,0,3,20,0,3,4g,6,48G,3-00:00:00,,,drone-on-1472491096-stage1-train-primary,validation-best; never test-selected,planned,
drone-on-534933607-stage2-train-primary,prospective-ten,534933607,drone,Drone,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.drone_mcts,hadd-astar,selected:stage1:drone:on:534933607,0.0003,100,True,0.5,0.1,0,3,20,0,3,4g,6,48G,3-00:00:00,,,drone-on-534933607-stage1-train-primary,validation-best; never test-selected,planned,
drone-on-2082152039-stage2-train-primary,prospective-ten,2082152039,drone,Drone,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.drone_mcts,hadd-astar,selected:stage1:drone:on:2082152039,0.0003,100,True,0.5,0.1,0,3,20,0,3,4g,6,48G,3-00:00:00,,,drone-on-2082152039-stage1-train-primary,validation-best; never test-selected,planned,
drone-on-1510771779-stage2-train-primary,prospective-ten,1510771779,drone,Drone,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.drone_mcts,hadd-astar,selected:stage1:drone:on:1510771779,0.0003,100,True,0.5,0.1,0,3,20,0,3,4g,6,48G,3-00:00:00,,,drone-on-1510771779-stage1-train-primary,validation-best; never test-selected,planned,
drone-on-923500475-stage2-train-primary,prospective-ten,923500475,drone,Drone,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.drone_mcts,hadd-astar,selected:stage1:drone:on:923500475,0.0003,100,True,0.5,0.1,0,3,20,0,3,4g,6,48G,3-00:00:00,,,drone-on-923500475-stage1-train-primary,validation-best; never test-selected,planned,
drone-on-1972442430-stage2-train-primary,prospective-ten,1972442430,drone,Drone,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.drone_mcts,hadd-astar,selected:stage1:drone:on:1972442430,0.0003,100,True,0.5,0.1,0,3,20,0,3,4g,6,48G,3-00:00:00,,,drone-on-1972442430-stage1-train-primary,validation-best; never test-selected,planned,
fo_counters-off-1963100312-stage2-train-primary,prospective-ten,1963100312,fo_counters,FO Counters,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.fo_counters_mcts,hmrmax-astar,selected:stage1:fo_counters:off:1963100312,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,fo_counters-off-1963100312-stage1-train-primary,validation-best; never test-selected,planned,
fo_counters-off-2011206605-stage2-train-primary,prospective-ten,2011206605,fo_counters,FO Counters,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.fo_counters_mcts,hmrmax-astar,selected:stage1:fo_counters:off:2011206605,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,fo_counters-off-2011206605-stage1-train-primary,validation-best; never test-selected,planned,
fo_counters-off-1073581256-stage2-train-primary,prospective-ten,1073581256,fo_counters,FO Counters,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.fo_counters_mcts,hmrmax-astar,selected:stage1:fo_counters:off:1073581256,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,fo_counters-off-1073581256-stage1-train-primary,validation-best; never test-selected,planned,
fo_counters-off-1239739722-stage2-train-primary,prospective-ten,1239739722,fo_counters,FO Counters,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.fo_counters_mcts,hmrmax-astar,selected:stage1:fo_counters:off:1239739722,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,fo_counters-off-1239739722-stage1-train-primary,validation-best; never test-selected,planned,
fo_counters-off-1472491096-stage2-train-primary,prospective-ten,1472491096,fo_counters,FO Counters,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.fo_counters_mcts,hmrmax-astar,selected:stage1:fo_counters:off:1472491096,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,fo_counters-off-1472491096-stage1-train-primary,validation-best; never test-selected,planned,
fo_counters-off-534933607-stage2-train-primary,prospective-ten,534933607,fo_counters,FO Counters,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.fo_counters_mcts,hmrmax-astar,selected:stage1:fo_counters:off:534933607,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,fo_counters-off-534933607-stage1-train-primary,validation-best; never test-selected,planned,
fo_counters-off-2082152039-stage2-train-primary,prospective-ten,2082152039,fo_counters,FO Counters,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.fo_counters_mcts,hmrmax-astar,selected:stage1:fo_counters:off:2082152039,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,fo_counters-off-2082152039-stage1-train-primary,validation-best; never test-selected,planned,
fo_counters-off-1510771779-stage2-train-primary,prospective-ten,1510771779,fo_counters,FO Counters,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.fo_counters_mcts,hmrmax-astar,selected:stage1:fo_counters:off:1510771779,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,fo_counters-off-1510771779-stage1-train-primary,validation-best; never test-selected,planned,
fo_counters-off-923500475-stage2-train-primary,prospective-ten,923500475,fo_counters,FO Counters,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.fo_counters_mcts,hmrmax-astar,selected:stage1:fo_counters:off:923500475,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,fo_counters-off-923500475-stage1-train-primary,validation-best; never test-selected,planned,
fo_counters-off-1972442430-stage2-train-primary,prospective-ten,1972442430,fo_counters,FO Counters,off,RQ1/RQ2,train,stage2,primary,experiments_numeric.architecture_2.fo_counters_mcts,hmrmax-astar,selected:stage1:fo_counters:off:1972442430,0.0003,100,True,0.5,0.1,0,30,20,0,3,4g,6,48G,3-00:00:00,,,fo_counters-off-1972442430-stage1-train-primary,validation-best; never test-selected,planned,
fo_counters-on-1963100312-stage2-train-primary,prospective-ten,1963100312,fo_counters,FO Counters,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.fo_counters_mcts,hmrmax-astar,selected:stage1:fo_counters:on:1963100312,0.0003,100,True,0.5,0.1,0,10,20,0,3,4g,6,48G,3-00:00:00,,,fo_counters-on-1963100312-stage1-train-primary,validation-best; never test-selected,planned,
fo_counters-on-2011206605-stage2-train-primary,prospective-ten,2011206605,fo_counters,FO Counters,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.fo_counters_mcts,hmrmax-astar,selected:stage1:fo_counters:on:2011206605,0.0003,100,True,0.5,0.1,0,10,20,0,3,4g,6,48G,3-00:00:00,,,fo_counters-on-2011206605-stage1-train-primary,validation-best; never test-selected,planned,
fo_counters-on-1073581256-stage2-train-primary,prospective-ten,1073581256,fo_counters,FO Counters,on,RQ3/RQ4,train,stage2,primary,experiments_numeric.architecture_2.fo_counters_mcts,hmrmax-astar,selected:stage1:fo_counters:on:1073581256,0.0003,100,True,0.5,0.1,0,10,20,0,3,4g,6,48G,3-00:00:00,,,fo_counters-on-1073581256-stage1-train-primary,validation-best; never test-selected,planned,
