arm,stage2_branch,value_head,seed,instances,policy_checkpoint_source,reference_policy_log,reference_mcts_evidence,search,simulations,max_children,workers,cpus,ram_gib,walltime,action_debug,submission_state
failure,validation_led,off,1963100312,"fz_instance_51.pddl;fz_instance_55.pddl;fz_instance_59.pddl",20430416_e0033,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20451601_Ev_counters_counters_orig_novh_c.1_s1963100312_SR10P_src20430416_e0033.txt,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/.resume_state/20649844.eval_completed.jsonl,narrow,20,5,1,2,120,24h,true,prepared_not_submitted
parallel_control,validation_led,on,1963100312,"fz_instance_51.pddl;fz_instance_55.pddl;fz_instance_59.pddl",20430427_e0000,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage2_policy_eval/20465252_Ev_counters_counters_orig_vh_c.1_s1963100312_SR10P_src20430427_e0000.txt,/home/hersco/training_new_domains/2026-08-27/statistical_replication_stage2_mcts_eval/20649854_Ev_counters_counters_mcts_orig_vh_e.5_c.1_s1963100312_K0_SR10M_src20430427_e0000.txt,narrow,20,5,1,2,120,24h,true,prepared_not_submitted
