domain,value_head,seed,source_policy_job_id,source_test_score,external_array_job_id,external_score,external_total,state,source_test_log,external_log
fo_counters,off,1073581256,20426859,3,21175984_0,4,20,completed,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426859_Ev_fo_counters_fo_counters_orig_novh_c.1_s1073581256_SR10P_src20401230_e0022.txt,/home/hersco/training_new_domains/2026-09-10/yarin_external/policy_21175984_0.log
fo_counters,off,1963100312,20426778,3,21175984_1,5,20,completed,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426778_Ev_fo_counters_fo_counters_orig_novh_c.1_s1963100312_SR10P_src20401228_e0008.txt,/home/hersco/training_new_domains/2026-09-10/yarin_external/policy_21175984_1.log
fo_counters,off,2011206605,20426824,4,21175984_2,8,20,completed,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426824_Ev_fo_counters_fo_counters_orig_novh_c.1_s2011206605_SR10P_src20401229_e0046.txt,/home/hersco/training_new_domains/2026-09-10/yarin_external/policy_21175984_2.log
fo_counters,on,1073581256,20426139,4,21175984_3,2,20,completed,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426139_Ev_fo_counters_fo_counters_orig_vh_c.1_s1073581256_SR10P_src20401220_e0106.txt,/home/hersco/training_new_domains/2026-09-10/yarin_external/policy_21175984_3.log
fo_counters,on,1963100312,20425875,4,21175984_4,6,20,completed,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20425875_Ev_fo_counters_fo_counters_orig_vh_c.1_s1963100312_SR10P_src20401218_e0011.txt,/home/hersco/training_new_domains/2026-09-10/yarin_external/policy_21175984_4.log
fo_counters,on,2011206605,20426065,3,21175984_5,7,20,completed,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20426065_Ev_fo_counters_fo_counters_orig_vh_c.1_s2011206605_SR10P_src20401219_e0051.txt,/home/hersco/training_new_domains/2026-09-10/yarin_external/policy_21175984_5.log
rover,off,1073581256,20428109,4,21176016_6,,20,running,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428109_Ev_rover_rover_orig_novh_c.1_s1073581256_SR10P_src20401250_e0040.txt,/home/hersco/training_new_domains/2026-09-10/yarin_external/policy_21176016_6.log
rover,off,1963100312,20428037,4,21176016_7,,20,running,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428037_Ev_rover_rover_orig_novh_c.1_s1963100312_SR10P_src20401248_e0025.txt,/home/hersco/training_new_domains/2026-09-10/yarin_external/policy_21176016_7.log
rover,off,2011206605,20428091,4,21176016_8,,20,running,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20428091_Ev_rover_rover_orig_novh_c.1_s2011206605_SR10P_src20401249_e0044.txt,/home/hersco/training_new_domains/2026-09-10/yarin_external/policy_21176016_8.log
rover,on,1073581256,20427494,4,21176016_9,,20,running,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427494_Ev_rover_rover_orig_vh_c.1_s1073581256_SR10P_src20401240_e0143.txt,/home/hersco/training_new_domains/2026-09-10/yarin_external/policy_21176016_9.log
rover,on,1963100312,20427194,4,21176016_10,,20,running,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427194_Ev_rover_rover_orig_vh_c.1_s1963100312_SR10P_src20401238_e0070.txt,/home/hersco/training_new_domains/2026-09-10/yarin_external/policy_21176016_10.log
rover,on,2011206605,20427445,4,21176016_11,,20,running,/home/hersco/training_new_domains/2026-08-21/statistical_replication_stage1_policy_eval/20427445_Ev_rover_rover_orig_vh_c.1_s2011206605_SR10P_src20401239_e0095.txt,/home/hersco/training_new_domains/2026-09-10/yarin_external/policy_21176016_11.log
